year,area,country,January,February,March,April,May,June,July,August,September,October,November,December
2019,AFRICA,MOROCCO,311,329,394,409,170,541,1076,2277,1066,709,568,415
2019,AFRICA,MOZAMBIQUE,25,13,7,10,9,15,25,28,15,15,14,84
2019,AFRICA,NAMIBIA,20,5,24,32,67,33,27,40,31,49,32,110
2019,AFRICA,NIGERIA,6,13,7,26,8,6,10,23,21,8,4,11
2019,AFRICA,RWANDAN,1,3,5,4,3,6,6,7,5,11,10,9
2019,AFRICA,SENEGAL,9,24,17,21,8,24,13,33,25,11,20,26
2019,AFRICA,SEYCHELLES,19,13,34,13,11,22,9,35,19,39,10,36
2019,AFRICA,SOMALI,0,0,0,0,0,0,0,2,0,0,1,0
2019,AFRICA,SIERRA LEONE,5,6,2,7,6,7,8,8,5,0,1,3
2019,AFRICA,SWAZILAND,22,7,16,29,13,12,29,12,11,33,13,10
2019,AFRICA,TANZANIA,47,51,40,50,37,46,55,44,45,52,36,66
2019,AFRICA,TUNISIA,148,118,289,230,100,268,577,432,400,296,200,234
2019,AFRICA,UGANDAN,45,40,23,37,29,38,25,39,35,22,30,60
2019,AFRICA,ZIMBABWE,78,80,75,127,130,63,131,130,87,131,124,196
2019,AFRICA,ZAMBIA,16,22,13,26,26,22,30,35,33,24,20,36
2019,AFRICA,ZAIRE,0,0,0,0,0,0,0,0,0,0,0,0
2019,AMERICA,ARGENTINA,974,578,754,631,760,511,601,550,624,652,504,593
2019,AMERICA, USA/AMERICAN,17569,15056,22608,22170,24835,26086,26289,23712,26208,23120,22905,25953
2019,AMERICA,ANTIGUA AND BARMUDA,2,1,2,7,4,2,3,8,4,4,9,5
2019,AMERICA,BRAZIL,1602,1215,1629,1733,2141,1791,1793,2069,2046,1933,1650,2376
2019,AMERICA,BAHAMAS,8,4,1,5,8,5,2,3,23,22,11,6
2019,AMERICA,BARBADOS,3,6,11,8,9,3,5,5,19,4,10,7
2019,AMERICA,BOLIVIA,30,20,22,26,29,35,20,30,42,18,17,34
2019,AMERICA,COSTA RICA,50,58,47,50,54,34,50,45,93,60,54,63
2019,AMERICA,CUBA,9,11,4,18,48,50,39,60,77,9,33,74
2019,AMERICA,CHILE,819,1163,746,725,723,528,771,654,766,654,490,563
2019,AMERICA,DOMINICAN,21,18,27,27,20,36,34,41,35,53,22,37
2019,AMERICA,EL SALVADOR,10,18,11,15,32,8,19,23,31,22,31,15
2019,AMERICA,ECUADOR,61,68,59,82,105,68,88,124,83,109,94,96
2019,AMERICA,GUATEMALA,22,16,20,28,33,34,39,12,28,27,28,53
2019,AMERICA,GUYANA,7,8,3,5,4,6,10,0,0,4,6,7
2019,AMERICA,HONDURAS,19,14,29,9,7,10,23,17,23,17,19,25
2019,AMERICA,HAITI,1,6,6,6,8,5,15,12,9,8,3,5
2019,AMERICA,CANADA,5856,5640,6999,6563,7598,4939,5380,5407,5773,6194,6245,7133
2019,AMERICA,COLOMBIA,443,257,406,392,427,348,349,445,452,483,587,585
2019,AMERICA,MICRONESIA,1,0,0,0,2,2,0,1,0,0,0,0
2019,AMERICA,MEXICO,639,575,847,1117,887,902,1038,648,1067,1006,1160,1098
2019,AMERICA,NICARAGUA,5,8,5,9,8,4,12,7,13,7,10,14
2019,AMERICA,PANAMA,24,24,24,26,31,18,32,30,32,50,27,21
2019,AMERICA,PARAGUAY,34,8,17,10,8,14,17,27,22,27,29,14
2019,AMERICA,PERU,144,134,152,141,207,139,167,210,213,201,142,220
2019,AMERICA,SURINAME,0,3,7,5,6,5,12,15,11,16,12,4
2019,AMERICA,SAINT KITTS AND NEVIS,6,15,9,19,7,11,19,26,3,6,8,14
2019,AMERICA,ST. LUCIA,3,3,10,2,3,1,2,1,1,6,2,18
2019,AMERICA,TAHITI,0,0,0,0,0,0,0,0,0,0,0,0
2019,AMERICA,TRINIDAD AND TOBAGO,17,15,14,45,28,23,29,22,36,33,31,31
2019,AMERICA,URUGUAY,119,72,671,258,127,115,89,94,91,68,54,51
2019,AMERICA,VENEZUELA,85,73,63,90,87,84,102,119,85,89,70,74
2019,AMERICA,JAMAICA,17,19,30,34,37,28,34,37,40,27,27,44
